"","name","info","point","value"
"152","
                东霓

                
              ","笛安 / 长江文艺出版社 / 2010-7-1 / 26.80元",8.1,"(
                    38522人评价
                )"
"153","
                时间简史

                
                   : 插图本 
              ","[英] 史蒂芬·霍金 / 许明贤 / 湖南科学技术出版社 / 2010-4 / 45.00元",8.8,"(
                    34431人评价
                )"
"154","
                伊豆的舞女

                
              ","[日] 川端康成 / 叶渭渠 / 广西师范大学出版社 / 2002-2 / 23.80元",8.2,"(
                    37552人评价
                )"
"155","
                你一定爱读的极简欧洲史

                
                   : 为什么欧洲对现代文明的影响这么深 
              ","约翰·赫斯特（John Hirst） / 席玉苹 / 广西师范大学出版社 / 2011-11-25 / 25.00元",8.2,"(
                    37313人评价
                )"
"156","
                呼兰河传

                
                   : 1947年版本<U+30FB>原版珍藏 
              ","萧红 / 百花文艺出版社 / 2005-01 / 19.00",8.9,"(
                    34239人评价
                )"
"157","
                失恋33天

                
                   : 小说，或是指南 
              ","鲍鲸鲸 / 中信出版社 / 2010-1 / 25.00元",8.1,"(
                    37782人评价
                )"
"158","
                红与黑

                
              ","[法] 司汤达 / 张冠尧 / 人民文学出版社 / 2002 / 20.00元",8.2,"(
                    36322人评价
                )"
"159","
                夏洛的网

                
              ","[美] E.B.怀特 / 任溶溶 / 上海译文出版社 / 2004-5 / 17.00元",8.6,"(
                    34161人评价
                )"
"160","
                我的天才女友

                
                   : 那不勒斯四部曲-01 
              ","[意] 埃莱娜·费兰特 / 陈英 / 人民文学出版社 / 2017-1 / 42.00元",8.5,"(
                    34515人评价
                )"
"161","
                中国历代政治得失

                
              ","钱穆 / 生活·读书·新知三联书店 / 2001 / 12.00元",9.2,"(
                    31555人评价
                )"
"162","
                历史深处的忧虑

                
                   : 近距离看美国之一 
              ","林达 / 生活·读书·新知三联书店 / 1997-5 / 19.00元",9,"(
                    32051人评价
                )"
"163","
                陆犯焉识

                
              ","严歌苓 / 作家出版社 / 2011-10 / 35.00元",8.8,"(
                    32439人评价
                )"
"164","
                一九八四·动物农场

                
              ","[英] 乔治·奥威尔 / 董乐山 / 上海译文出版社 / 2003-4 / 23.00元",9.3,"(
                    30296人评价
                )"
"165","
                人生

                
              ","路遥 / 北京十月文艺出版社 / 2009-5 / 20.00元",8.4,"(
                    32912人评价
                )"
"166","
                大地之灯

                
              ","七堇年 / 长江文艺出版社 / 2007-1 / 22.00元",8.2,"(
                    34453人评价
                )"
"167","
                影响力

                
              ","[美] 罗伯特·西奥迪尼 / 陈叙 / 中国人民大学出版社 / 2006-5 / 45.00元",8.6,"(
                    32207人评价
                )"
"168","
                匆匆那年（上下）

                
              ","九夜茴 / 东方出版社 / 2008-1 / 29.00",8.3,"(
                    34047人评价
                )"
"169","
                自控力

                
                   : 斯坦福大学最受欢迎心理学课程 
              ","[美]  凯利·麦格尼格尔 / 王岑卉 / 文化发展出版社(原印刷工业出版社) / 2012-8 / 39.80元",8.3,"(
                    33703人评价
                )"
"170","
                橙

                
                   : 陪安东尼度过漫长岁月 Ⅱ 
              ","安东尼 / 长江文艺出版社 / 2010-10 / 28.80元",8.2,"(
                    33664人评价
                )"
"171","
                香水

                
                   : 一个谋杀犯的故事 
              ","[德] 帕·聚斯金德 / 李清华 / 上海译文出版社 / 2005-5 / 20.00元",8.5,"(
                    32050人评价
                )"
"172","
                世界尽头与冷酷仙境

                
              ","[日] 村上春树 / 林少华 / 上海译文出版社 / 2002-12 / 23.00元",8.6,"(
                    31843人评价
                )"
"173","
                冰与火之歌（卷一）

                
                   : 权力的游戏 
              ","[美] 乔治·R. R. 马丁 / 谭光磊 / 重庆出版社 / 2005-5 / 68.00元",9.3,"(
                    28714人评价
                )"
"174","
                那些年，我们一起追的女孩

                
              ","九把刀 / 花山文艺出版社 / 2007-1 / 20.00元",8.2,"(
                    33352人评价
                )"
"175","
                变形记

                
                   : 卡夫卡小说 
              ","[奥] 卡夫卡 / 叶廷芳 / 浙江文艺出版社 / 2003-4 / 16.00元",8.4,"(
                    31973人评价
                )"
"176","
                看不见的城市

                
              ","[意大利]伊塔洛·卡尔维诺 / 张宓 / 译林出版社 / 2006-8 / 16.00元",8.8,"(
                    30451人评价
                )"
"177","
                江城

                
              ","[美] 彼得·海斯勒 / 李雪顺 / 上海译文出版社 / 2012-1 / 36.00元",9,"(
                    29475人评价
                )"
"178","
                把时间当作朋友

                
                   : 运用心智获得解放 
              ","李笑来 / 电子工业出版社 / 2009-6 / 32.00元",8.4,"(
                    31436人评价
                )"
